material,ethanol_pct,temperature_C,water_ppm,chloride_mg_L,dissolved_O2_ppm,TAN_mgKOH_g,conductivity_uS_cm,flow_velocity_m_s,exposure_hours,surface_roughness_Ra_um,inhibitor_present,pH,corrosion_rate_mm_per_y
Copper,15,52.36,606.9,2.75,7.24,0.159,54.2,0.532,65,0.883,1,6.6,0.01917
LowCarbonSteel,15,25.46,239.9,11.79,4.54,0.169,63.9,0.857,271,1.239,1,6.83,0.03817
ZnCoatedSteel,15,31.32,576.7,5.75,3.61,0.186,65.92,0.395,268,1.665,0,6.21,0.01267
LowCarbonSteel,15,47.45,215.5,1.15,6.84,0.133,65.31,0.118,67,2.325,1,7.19,0.02982
Copper,0,36.67,259.8,12.46,2.5,0.116,15.1,0.652,96,0.658,0,5.91,0.02101
Al6061,5,37.11,221.4,8.8,6,0.091,63.69,0.229,99,1.054,0,6.26,0.01095
Copper,0,59.75,261.9,7.43,7.23,0.075,33.53,0.129,122,1.904,0,6.9,0.01463
ZnCoatedSteel,15,61.09,573.5,12.03,3.13,0.188,68.29,0.706,99,1.905,0,6,0.00919
Copper,10,23.6,456.7,6.44,4.72,0.123,56.42,0.882,172,0.866,0,6.86,0.05172
Brass,10,16.12,376.8,3.27,5.67,0.125,52.7,0.569,250,0.788,1,6.52,0.02236
LowCarbonSteel,15,17.09,320.9,4.59,4.74,0.148,53.05,0.382,216,0.335,1,6.6,0.06036
SS304,5,43.67,240.1,18.17,1.12,0.144,32.27,0.003,147,0.671,0,6.9,0.00243
ZnCoatedSteel,5,46.58,371.3,1.99,7.9,0.117,30.55,0.642,266,1.546,0,6.24,0.00883
ZnCoatedSteel,15,37.28,549,0.88,3.07,0.106,72.83,0.117,304,0.591,0,6.37,0.0152
SS304,5,45.75,304.5,9.22,3.13,0.085,39.98,0.511,155,0.718,1,7.67,0.00124
Al6061,10,22.09,391.2,8.51,2.74,0.14,74.46,0.484,270,1.199,0,6.31,0.01818
ZnCoatedSteel,10,16.1,347.9,2.24,1.47,0.158,60.6,0.195,150,0.338,0,6.31,0.02885
Brass,0,32.53,181.6,30.45,1.23,0.11,6.05,0.446,122,1.626,0,6.41,0.02246
LowCarbonSteel,15,46.99,288.1,6.65,7,0.229,73.2,0.839,323,0.099,0,6.26,0.03438
ZnCoatedSteel,10,59.45,339.6,19.62,2.43,0.168,59.18,0.349,264,1.897,0,7,0.01455
LowCarbonSteel,10,24.81,180.2,15.65,5.34,0.053,50.74,0.838,75,1.058,0,7.05,0.07296
Copper,0,60.38,221.4,8.37,4.66,0.129,20.54,0.191,241,0.766,1,7.03,0.01227
Al6061,10,26.86,421.4,14.51,4.52,0.155,63.95,0.88,36,2.011,0,6.78,0.01664
Al6061,15,56.55,365.5,25.17,2.47,0.155,61.78,0.212,303,1.481,1,6.8,0.00521
SS304,10,40.49,461.9,11.74,1.95,0.142,42.67,1.22,277,0.739,0,6.66,0.00306
Al6061,15,55.5,391.6,1.43,7.05,0.171,66.55,0.251,169,1.338,0,6.98,0.00459
Al6061,10,16.58,266.2,5.6,0.63,0.127,45.82,0.9,283,0.558,0,6.39,0.02448
Brass,10,46.83,134.6,1.97,5.88,0.125,66.73,0.25,290,0.663,0,6.25,0.01296
LowCarbonSteel,10,41.08,414.7,11.01,4.16,0.121,56.73,0.534,188,0.821,0,6.87,0.04631
Brass,15,19.99,418.3,5.74,5.59,0.14,77.95,0.173,320,1.112,0,5.98,0.02777
ZnCoatedSteel,15,44.47,591.1,1.57,2.05,0.178,67.6,0.433,122,1.641,0,6.37,0.01269
LowCarbonSteel,0,51.93,244.9,7.6,3.36,0.1,31.4,0.983,71,1.002,0,7.07,0.03073
Al6061,5,52.85,127.3,9.97,4.09,0.132,40.6,0.599,263,1.873,1,6.22,0.0053
Al6061,5,29,533.4,7.23,5.87,0.087,27.37,0.312,238,0.107,1,6.79,0.01113
SS304,15,22.31,410.2,8.35,7.55,0.146,68.43,1.13,211,1.27,0,7.28,0.00724
LowCarbonSteel,5,40.07,392.5,4.65,5.31,0.133,38.42,0.347,41,0.402,0,6.62,0.02851
Brass,5,59.56,409.6,1.46,6.41,0.126,33.13,0.051,75,1.596,1,6.15,0.00889
Brass,10,64.68,275.5,1.12,1.07,0.196,51.77,0.648,47,0.981,1,6.34,0.0054
ZnCoatedSteel,0,51.97,329.1,7.42,6.66,0.142,23.83,0.147,74,0.05,0,7.46,0.01026
LowCarbonSteel,10,16.25,300.7,7.24,1.79,0.078,65.08,0.951,274,1.081,0,6.86,0.09511
Copper,5,47.32,566.6,17.77,3.16,0.149,39.59,0.174,51,1.006,0,6.91,0.01557
ZnCoatedSteel,10,36.8,7.4,25.16,4.39,0.075,62.03,0.51,330,1.874,1,6.5,0.01155
LowCarbonSteel,15,17.09,330.7,35.03,5.64,0.167,68.46,1.11,210,1.67,0,6.89,0.10093
Al6061,5,67.27,388.2,1.49,3.76,0.145,28.08,0.386,248,0.751,0,6.36,0.00302
Al6061,5,68.89,183,6.77,1.96,0.147,19.53,0.651,240,1.637,1,6.9,0.00209
Copper,5,48.94,317.6,18.82,5.19,0.102,22.62,0.781,180,1.956,0,6.49,0.01806
SS304,0,31.93,117.4,4.35,0.91,0.107,15.31,0.799,24,1.269,0,6.95,0.00321
LowCarbonSteel,10,24.98,258.6,21.88,6.76,0.171,54.5,0.05,91,1.902,0,6.99,0.06587
LowCarbonSteel,0,60.45,268.8,6.02,1.31,0.081,19.46,1.207,316,1.79,1,6.33,0.01451
ZnCoatedSteel,0,30.09,391.4,10.25,6.43,0.108,23.86,0.82,152,1.4,0,7.75,0.01875
LowCarbonSteel,10,42.02,460.8,2.14,7.15,0.11,73.58,0.593,134,1.915,0,7,0.03236
ZnCoatedSteel,0,34.71,350.9,6.23,0.89,0.086,17.91,0.09,48,1.685,0,6.92,0.01708
LowCarbonSteel,5,63.17,18,10.31,0.78,0.138,30.88,0.245,135,1.615,1,7.15,0.01159
SS304,15,64.06,286.8,1.84,6,0.139,73.93,0.147,43,1.132,0,6.51,0.00103
LowCarbonSteel,10,68.03,569,18.22,5.33,0.152,57.36,0.203,234,1.639,0,6.52,0.01828
Brass,15,38.23,455.3,3.53,2.36,0.205,45.27,0.206,97,1.72,0,6.29,0.01313
ZnCoatedSteel,5,68.19,253.2,6.1,6.43,0.133,27.03,0.474,50,0.269,1,7.18,0.00569
LowCarbonSteel,0,30.29,379.1,2.83,5.26,0.113,11.67,0.136,182,0.05,0,6.62,0.05135
Brass,10,31.7,431.3,4.59,4.39,0.232,63.9,0.927,225,0.448,0,6.42,0.0208
Al6061,10,17.59,224,7.71,6.74,0.097,40.56,0.453,320,1.064,0,6.73,0.02135
Copper,10,18.32,517.8,5.35,4.74,0.158,31.99,1.133,210,1.067,0,6.43,0.0319
LowCarbonSteel,10,63.73,320.2,3.8,1.97,0.157,55.24,0.132,181,0.802,0,6.45,0.01969
Copper,10,68.44,386.1,0.56,5.12,0.143,36.66,0.415,269,0.925,1,6.37,0.00905
Brass,15,43.86,436.8,11.97,5.44,0.166,59.99,0.39,110,0.418,1,6.12,0.00901
Al6061,15,25.41,265.3,35.36,4.41,0.093,63.54,0.479,201,2.663,0,5.5,0.01651
SS304,15,63.51,401.4,9.12,2.17,0.121,68.13,0.467,296,1.469,0,5.9,0.00103
Copper,15,58.49,325.9,10.43,4.41,0.135,71.14,0.282,318,0.21,1,6.53,0.01329
LowCarbonSteel,10,21.97,126.4,5.25,3.17,0.217,39.42,0.603,162,1.014,1,6.41,0.04705
LowCarbonSteel,5,17.39,261,15.13,4.75,0.062,51.15,0.093,154,0.906,0,7.02,0.12928
SS304,10,40.32,181.1,12.56,5.42,0.143,65.59,0.739,291,0.805,0,6.82,0.00305
SS304,10,36.68,330.5,4.28,1.76,0.106,59.39,0.72,214,0.401,0,6.59,0.0039
Brass,0,69.23,280.2,0.77,4.96,0.12,9.14,0.9,207,0.505,0,6.66,0.00649
SS304,10,57.57,269.4,6.25,0.93,0.179,58.16,0.322,53,0.592,1,6.01,0.00086
SS304,10,54.31,366.6,5.85,6.61,0.118,50.16,0.196,47,1.572,0,6.37,0.00132
ZnCoatedSteel,10,45.26,127.6,5.19,2.86,0.114,56.16,0.971,102,0.236,0,6.34,0.00981
Brass,5,21.49,75,17.27,1.28,0.15,23.79,0.267,202,1.768,1,6.86,0.02101
Al6061,15,16.43,506.1,2.52,7.6,0.121,64.42,0.181,108,0.05,0,6.05,0.01513
Brass,5,56.68,421.5,1.84,1.76,0.209,28.3,0.02,278,0.821,0,6.2,0.00997
Copper,15,55.99,400.8,7.25,5.18,0.139,68.28,0.032,223,0.229,0,7.17,0.01537
ZnCoatedSteel,10,69.95,616.8,2.39,7.41,0.105,37.48,0.564,190,2.288,0,7.01,0.01069
Al6061,0,57.54,61.5,5.63,5.22,0.125,28.63,0.712,63,1.035,0,7.69,0.00566
Brass,0,53.28,245.5,2.62,1.71,0.096,13.8,0.109,278,0.539,0,7.23,0.01567
SS304,5,40.88,356.8,8.52,5.62,0.092,43.06,1.332,83,1.16,0,7.25,0.00247
SS304,0,43.67,344.3,6.2,1.9,0.034,14.66,0.81,61,0.773,1,6.39,0.00142
Al6061,15,60.6,541.7,21.64,7.91,0.171,74.67,0.221,86,1.156,0,7.21,0.00605
Brass,15,27.25,497.1,7.21,3.2,0.165,65.59,0.982,208,1.036,1,6.25,0.02017
Al6061,15,23.26,289.3,2.03,6.93,0.145,48.69,0.525,246,1.91,1,6.92,0.0147
SS304,10,36.5,439.4,3.91,7.18,0.198,57.47,0.611,28,0.408,0,6.95,0.00298
SS304,15,43.54,178,9.1,4.48,0.091,69.43,0.827,62,1.099,0,7.09,0.0022
SS304,15,34.64,394.7,5.09,4.51,0.19,76.06,0.832,96,1.639,1,6.55,0.00261
Copper,15,49.32,447.8,6.07,2.1,0.1,65.22,0.418,92,1.399,1,6.9,0.01873
Copper,5,62.82,264.5,2.56,2.59,0.115,27.76,0.273,332,2.291,0,7.91,0.02557
Al6061,0,15.02,294.4,21.39,1.19,0.16,18.17,0.809,231,0.832,0,6.48,0.02626
Brass,5,55.95,335,13.94,4.44,0.151,21.66,0.558,52,1.414,0,6.12,0.00953
SS304,15,68.5,521.9,7.63,6.74,0.213,80.99,0.696,308,1.615,0,6.34,0.00096
Al6061,5,23.39,246.1,2.96,3.53,0.16,41.97,1.383,65,1.051,0,7.44,0.02827
Brass,0,59.42,142.1,8.05,1.8,0.091,25.67,0.113,34,0.63,0,6.81,0.01239
ZnCoatedSteel,0,57.23,130.2,17.77,0.66,0.195,27.83,0.004,134,1.387,0,7.12,0.01163
Al6061,0,28.83,417.4,1.34,7.7,0.099,31.83,0.371,271,1.371,0,7.19,0.01558
SS304,10,17.24,296.4,6.12,3.97,0.168,61.25,1.38,233,2.084,1,6.68,0.00361
SS304,0,49.14,365.6,10.36,1.79,0.107,5.86,0.766,34,2.038,0,6.07,0.0015
ZnCoatedSteel,10,36.08,273.1,8.71,7.58,0.138,42.74,1.339,175,1.828,0,6.95,0.01501
SS304,0,50.14,420.7,9.07,6.85,0.077,14.04,1.079,131,1.05,0,6.81,0.00189
Brass,10,42.38,291.4,5.47,0.73,0.122,37.42,0.507,236,0.548,0,6.57,0.01287
Brass,5,21.84,262.2,4.24,7.24,0.127,47.3,0.356,51,0.957,0,7.15,0.03766
Copper,15,65.01,406,13.37,2.28,0.082,61.55,1.106,282,1.66,0,6.42,0.01085
Copper,15,36.45,464.7,20.23,5.16,0.127,69.97,0.257,257,0.746,0,6.97,0.02902
Copper,15,32.83,457.4,0.96,7.93,0.135,49.42,0.209,45,1.132,0,6.42,0.04553
ZnCoatedSteel,15,55.79,454.3,11.45,0.98,0.183,71.62,0.048,33,1.64,0,6.38,0.00732
SS304,0,59.66,137.3,12.18,6,0.107,8.68,0.611,296,1.31,0,6.15,0.00245
Copper,10,39.39,535.8,6.53,3.85,0.112,65.75,0.517,334,2.07,0,6.6,0.02045
SS304,15,54.16,431.9,17.45,5.51,0.129,79.84,0.686,171,1.609,0,6.83,0.00126
ZnCoatedSteel,0,47.96,97.7,31.49,7.81,0.15,21.29,0.683,220,1.736,0,6.19,0.00985
Copper,5,27.68,0,31.04,5.42,0.16,36.5,0.461,221,1.415,0,6.72,0.02653
ZnCoatedSteel,5,20.42,571.8,8.23,2.66,0.146,33.97,1.303,164,2.09,0,6.57,0.03041
Brass,5,47.87,50,17.68,4.41,0.081,40.66,1.052,263,1.514,0,5.91,0.01294
Al6061,0,33.56,366.6,12.87,0.72,0.071,12.59,1.248,153,1.275,0,6.83,0.01712
Copper,10,39.79,308.6,6.15,6.86,0.088,57.49,0.557,223,0.408,0,6.37,0.02345
ZnCoatedSteel,15,32.55,308.9,2.93,1.56,0.193,66.9,0.63,218,1.075,1,6.25,0.01158
Al6061,5,45.46,198.2,5.23,3.03,0.198,45.27,0.952,41,1.359,1,6.33,0.00621
Al6061,15,20.72,252.1,3.25,2.14,0.128,79.02,1.147,236,2.13,0,7.17,0.02607
SS304,0,28.48,248.8,5.88,7.92,0.073,23.61,0.07,56,0.8,0,7.36,0.00461
Copper,15,19.11,370.5,28.02,6.19,0.161,65.67,0.144,288,1.133,0,6.35,0.0441
LowCarbonSteel,10,67.78,276.8,32.89,7.31,0.091,59.11,0.043,68,0.26,0,7.38,0.03625
Al6061,15,22.47,351.1,12.2,3.32,0.141,80.62,0.43,46,1.719,1,6.86,0.01224
Copper,15,27.28,453.6,3.68,6.75,0.187,69.29,0.555,132,1.227,0,6.51,0.03215
Al6061,5,41.44,214.9,16.02,1.96,0.138,7.75,0.83,155,1.54,0,7.15,0.01351
SS304,10,56.4,372.1,3.88,5.05,0.109,38.31,0.038,284,1.553,1,6.8,0.00092
Copper,10,32.97,466.1,0.59,6.79,0.166,54.84,1.232,71,1.432,0,6.55,0.02273
Brass,15,48.5,192.5,1.28,6.5,0.12,83.03,0.981,259,0.246,0,6.12,0.0137
SS304,15,18.13,543.2,10.46,5.83,0.153,66.25,0.375,137,1.786,0,6.55,0.00613
SS304,15,23.64,445.8,12.99,2.88,0.111,47.37,0.557,215,0.75,0,6.2,0.00583
Al6061,10,31.63,176.4,16.3,1.35,0.156,58.6,0.415,173,0.05,0,6.37,0.01755
ZnCoatedSteel,10,39.81,463.6,12.1,5.55,0.066,50.34,0.874,269,0.932,1,6.73,0.00861
Brass,5,52.21,120.1,1.39,5.55,0.128,32.58,0.298,41,0.809,0,6.13,0.01177
ZnCoatedSteel,0,51.9,153.4,18.57,7.19,0.081,17.88,0.837,52,1.172,0,6.26,0.0125
ZnCoatedSteel,0,45.52,275.8,1.77,2.25,0.129,25.87,0.349,191,1.213,1,6.05,0.01081
ZnCoatedSteel,5,34.26,311.2,10.91,2.48,0.103,27.11,0.264,293,2.13,0,7.05,0.01713
Al6061,0,15.35,478.9,27.9,2.1,0.096,11.67,0.536,217,0.482,0,6.87,0.0177
LowCarbonSteel,15,52.33,533.6,6.42,6.46,0.215,51.12,0.207,32,1.772,1,6.18,0.02326
ZnCoatedSteel,5,26.09,315.5,3.86,3.3,0.15,31.76,0.013,98,0.961,0,6.73,0.01507
Al6061,15,60.78,493.3,7.53,3.11,0.138,58.26,0.434,130,1.093,0,6.53,0.00402
Brass,15,50.11,353.7,2.06,3.52,0.179,77.83,0.199,182,2.531,0,6.79,0.01034
SS304,0,60.39,290.3,8.05,4.91,0.011,23.12,0.308,290,1.388,0,7.33,0.00151
Al6061,0,66.37,303.7,1.03,4.94,0.118,11.94,0.387,108,0.873,1,6.96,0.00433
Brass,0,54.1,527.9,4.07,7.55,0.093,13.04,1.491,239,1.66,0,6.72,0.01359
Copper,15,38.49,358.5,5.62,2.18,0.142,48.9,0.668,192,1.742,1,6.77,0.02058
LowCarbonSteel,15,44.17,520.9,13.16,7.38,0.116,69.7,0.277,29,0.928,1,6.39,0.03055
Brass,15,64.94,240.5,12.22,7.95,0.128,70.21,1,180,1.501,1,6.68,0.01123
Copper,5,41.78,375.3,1.46,1.86,0.193,58.48,0.677,304,0.476,0,6.55,0.02199
SS304,10,55.94,299.4,5.31,3.47,0.052,60.99,0.034,292,1.25,1,6.26,0.00097
SS304,0,40.81,223.8,18.73,7.81,0.158,27.04,0.397,294,1.545,0,7,0.00315
SS304,5,17.56,477.4,0.3,1.5,0.081,30.62,0.087,33,1.504,0,7.18,0.00788
ZnCoatedSteel,15,18.49,280.5,14.68,7.38,0.167,45.48,0.089,196,0.701,0,6.91,0.04252
SS304,0,57.01,134.7,2.08,6.95,0.017,16.09,0.609,166,1.843,1,6.7,0.00155
Al6061,10,57.28,331.9,1.94,1.89,0.107,60.98,0.606,293,1.857,0,6.06,0.00276
Copper,0,24.97,291.3,0.6,2.83,0.04,14.14,0.024,34,1.736,0,6.54,0.04286
LowCarbonSteel,5,25.79,486.3,10.1,6.92,0.128,21.98,0.422,38,0.615,0,6.54,0.05842
Copper,10,65.04,158.2,4.31,1.94,0.093,61.11,0.343,140,0.394,0,6.35,0.01663
Brass,10,28.05,272,6.31,0.6,0.185,52.63,0.417,156,1.521,0,6.4,0.02468
Al6061,10,36.7,442.7,8.1,2.47,0.174,39.47,0.479,198,1.45,0,7.12,0.01157
SS304,0,19.74,410.5,16.21,4.37,0.144,25.71,0.787,111,1.301,0,7.08,0.00861
SS304,15,32.08,483,20.23,4.52,0.143,50.96,0.335,216,1.884,0,6.47,0.00318
ZnCoatedSteel,15,69.29,428.8,14.25,5.22,0.2,53.17,0.003,227,1.199,0,6.62,0.00806
Copper,15,60.07,279.3,0.64,1.09,0.143,77.58,0.926,232,1.716,0,6.23,0.01397
SS304,10,61.68,399.5,0.37,0.57,0.121,28.31,0.395,190,0.642,1,6.79,0.00096
LowCarbonSteel,5,46.85,329.3,3.11,4.02,0.072,35.36,0.838,199,0.971,1,6.12,0.02545
SS304,0,59.58,205.8,14.06,2.92,0.053,19.51,0.784,283,0.414,0,6.63,0.00137
ZnCoatedSteel,5,67.24,303.8,3.51,1.55,0.049,26.18,0.995,144,1.609,1,6.1,0.00392
LowCarbonSteel,10,56.77,338,1.21,6.06,0.182,55.31,0.155,194,0.705,1,6.78,0.01791
LowCarbonSteel,10,24.89,473.4,1.98,2.7,0.135,56.21,0.977,266,1.827,1,7.01,0.04829
SS304,10,55.54,229.2,14.95,6.83,0.16,33.16,0.992,275,1.248,0,6.61,0.00144
Al6061,5,31.22,372.5,16.54,2.4,0.16,24.79,1.213,67,0.584,1,7.25,0.01015
LowCarbonSteel,15,20.94,341.7,0.52,2.33,0.173,65.65,1.248,248,1.178,0,6.27,0.07094
ZnCoatedSteel,5,16.58,78.2,20.24,0.92,0.142,13.95,0.365,117,1.305,1,7.27,0.03108
Brass,5,55.63,297.8,28.33,0.66,0.113,32.01,0.668,280,1.817,0,7,0.01107
Brass,5,55.79,390.9,10.44,1.19,0.159,19.64,0.238,284,0.963,1,6.83,0.0083
LowCarbonSteel,15,29.52,424.7,7.56,3.1,0.151,63.97,1.129,225,1.806,1,6.19,0.03544
ZnCoatedSteel,15,54.18,351.3,0.75,5.38,0.16,70.88,0.119,62,1.534,0,6.6,0.00943
Copper,0,30.11,187.8,11.82,7.01,0.035,16.26,0.909,159,2.238,0,6.29,0.03192
Copper,10,52.79,483.3,3.01,1.71,0.09,45.83,0.174,98,1.423,0,6.74,0.0184
ZnCoatedSteel,10,33.78,438.2,7.97,2.6,0.072,42.7,0.363,163,0.904,0,6.27,0.02329
Al6061,5,29.88,176.3,36.21,7.06,0.119,44.81,0.479,162,0.954,1,6.52,0.00987
Al6061,15,33.19,385.4,15.65,7.63,0.139,62.92,0.065,254,1.595,1,7.07,0.01295
Al6061,5,45.33,269.8,9.22,6.13,0.119,45.3,0.112,165,0.471,0,6.62,0.01072
SS304,0,15.53,171.1,11.89,2.48,0.125,18.24,0.283,127,1.015,1,6.98,0.0053
Copper,0,53.06,336,25.51,3.67,0.014,21.81,0.04,209,0.822,0,6.8,0.0168
Al6061,0,36.58,221.5,9.2,1.97,0.11,26.39,0.437,225,0.907,0,6.94,0.01328
Copper,10,26.98,364.6,7.78,4.72,0.159,60.25,0.621,139,1.469,0,5.76,0.01927
Copper,10,21.81,406.3,5.15,7.16,0.179,37.47,0.962,43,1.855,0,6.72,0.05396
Brass,15,38.3,606.4,9.51,2.82,0.267,73.19,0.19,302,1.274,1,6.53,0.01216
LowCarbonSteel,10,57.99,358.6,3.67,4.98,0.137,71.32,0.676,131,0.557,1,6.31,0.01953
Copper,0,36.25,383.6,13.85,3.14,0.005,14.71,0.379,151,0.672,1,6.3,0.01394
Brass,5,33.76,548.2,10.61,3.13,0.108,40.25,0.496,335,0.159,0,6.34,0.02346
LowCarbonSteel,15,64.79,220.6,2.19,5.81,0.087,70.37,0.411,62,0.783,0,5.91,0.02149
Al6061,15,42.98,523.5,12.62,6.54,0.13,51.7,0.899,326,1.194,0,6.5,0.01001
Brass,0,51.93,394.1,16.48,4.14,0.076,0.5,0.147,230,0.328,0,6.26,0.00991
Brass,15,49.62,434.3,6.88,4.6,0.185,60.1,0.747,152,2.176,0,5.5,0.01126
Brass,15,54.61,335,7.66,2.98,0.147,65.73,0.699,120,1.338,0,6.73,0.01506
ZnCoatedSteel,5,46.49,272,0.34,6.77,0.156,59.4,0.526,78,0.763,0,6.76,0.01158
Copper,5,59.68,218.3,19.69,3.64,0.19,53.19,1.191,216,0.934,0,7.56,0.01694
Brass,0,16.13,137.5,3.92,1.55,0.124,16.82,0.415,332,0.751,1,6.61,0.02832
ZnCoatedSteel,0,20.89,0,5.99,4.82,0.103,15.12,0.265,226,1.558,0,6.34,0.02099
Copper,0,42.34,186.4,8.2,3.8,0.141,28.04,0.827,304,1.523,0,6.93,0.02227
LowCarbonSteel,0,23.55,82.4,12.17,1.04,0.141,22.9,0.563,44,1.075,1,6.65,0.05271
Copper,10,31.17,384.1,6.18,3.31,0.204,55.39,0.353,167,1.011,0,6.94,0.02058
SS304,10,22.07,422.5,7.96,5.35,0.165,37.06,0.405,211,2.061,0,6.56,0.00429
Brass,5,50.59,233.4,5.44,3.12,0.16,46.69,0.007,173,1.673,0,6.23,0.00941
Al6061,15,23.42,508.1,21.55,7.24,0.119,53.81,0.284,68,1.486,0,6.13,0.02
SS304,10,64.16,180.7,8.16,3.58,0.122,50.35,0.318,212,0.522,0,6.58,0.00079
ZnCoatedSteel,10,52.86,184.2,10.09,3.47,0.134,43.81,0.505,315,1.712,0,6.41,0.01021
LowCarbonSteel,10,15.97,412.5,17.46,0.76,0.117,36.77,1.164,78,0.875,0,6.71,0.10672
Brass,15,24.02,324.5,5.63,5.18,0.077,60.62,0.364,182,1.074,0,6.53,0.02768
Al6061,15,68.11,338.6,8.09,5.75,0.165,59.38,0.322,156,0.573,1,6.92,0.00281
Copper,10,41.81,397.9,6.89,1.71,0.086,47.82,0.56,257,2.568,0,6.66,0.01962
ZnCoatedSteel,0,60.02,322.7,1.28,2.35,0.099,26,0.129,24,0.392,0,7.11,0.012
Copper,15,62.56,240.6,2.2,4.48,0.111,67.35,0.799,77,1.96,1,5.86,0.00811
ZnCoatedSteel,10,43.14,473.1,11.85,1.1,0.119,49.2,0.504,332,2.252,0,7.02,0.02057
Al6061,0,41.48,416.7,2.68,6.21,0.128,11.48,0.891,141,0.852,1,7.46,0.00705
Copper,5,22.21,369.8,35.58,7.2,0.126,31.22,0.203,132,1.179,0,6.58,0.0403
SS304,0,63.9,354.3,6.06,5.55,0.081,26.24,0.64,79,1.187,0,6.8,0.00094
Al6061,5,30.63,228.2,2.87,6.97,0.115,46.07,0.748,89,1.864,1,6.15,0.01082
Al6061,5,29.4,208.7,3.25,5.78,0.163,35.26,0.285,305,0.184,0,6.43,0.01116
LowCarbonSteel,5,16.48,264.1,18.91,1.25,0.103,53.87,0.493,231,0.948,0,6.3,0.11852
Al6061,0,37.69,190.6,4,2.22,0.039,23.53,0.457,264,1.513,1,6.74,0.00667
Brass,0,55.49,274,10.75,5.15,0.081,35.26,0.006,246,0.801,0,7.22,0.01738
Al6061,0,27.04,322.5,0.29,5.55,0.095,14.84,0.932,114,0.67,0,6.54,0.01842
Brass,0,23.68,303.7,13.48,1.93,0.1,14.47,0.605,91,1.752,0,7.36,0.04273
LowCarbonSteel,0,55.64,253.7,4.31,4.16,0.122,33.37,0.438,240,0.782,0,6.9,0.02925
Al6061,0,40.89,358,5.35,3.43,0.129,21.66,0.203,169,1.083,1,6.79,0.00687
Al6061,0,43.6,310.5,3.68,3.5,0.101,26.49,0.3,171,0.908,0,6.87,0.00894
Al6061,5,38.35,0,8.65,5.8,0.098,45.51,0.11,176,1.408,1,7.1,0.0095
Copper,15,32.35,385,13.72,3.37,0.164,63.12,0.194,276,0.988,0,6.14,0.03389
SS304,10,18.83,339.8,4.35,7.51,0.117,46.04,0.803,86,0.74,1,6.82,0.00372
ZnCoatedSteel,15,64.95,403.2,8.2,6.88,0.114,74.59,0.448,156,2.284,1,7.27,0.00716
ZnCoatedSteel,5,43.87,123.9,3.81,1.31,0.066,34.24,0.425,27,1.915,0,6.55,0.013
LowCarbonSteel,5,57.51,323.9,13.05,6.41,0.105,29.33,0.082,151,0.844,0,6.39,0.02524
LowCarbonSteel,0,42.79,390.3,5.9,7.35,0.151,25.36,0.346,102,0.26,1,6.1,0.02918
Copper,15,21.31,322.4,6.48,7.89,0.107,65.19,0.499,150,1.073,0,6.42,0.06388
ZnCoatedSteel,0,25.01,470.8,13.18,1.56,0.185,9.2,1.232,225,0.393,0,6.77,0.02832
LowCarbonSteel,10,30.19,357.2,1.64,6.28,0.1,35.47,0.886,51,1.89,0,6.72,0.05988
ZnCoatedSteel,5,45.27,267.5,20.66,6.27,0.042,29.4,0.835,268,0.05,0,5.5,0.00734
Copper,15,63.21,430.3,14.79,1.53,0.156,71.03,0.029,307,1.356,1,6.96,0.01627
LowCarbonSteel,15,38.22,525.8,2.19,6.65,0.152,63.26,0.304,88,0.982,1,6.43,0.03919
Copper,0,26.79,254.9,9.62,4.77,0.081,9.4,0.902,224,0.826,1,7.6,0.05179
ZnCoatedSteel,10,53.64,291.1,7.78,6.54,0.093,48.39,0.664,170,0.409,0,6.84,0.01095
Al6061,0,66.89,315.3,16.36,1.89,0.074,26.21,0.788,294,1.278,0,6.91,0.00567
Brass,15,35.25,229.8,0.72,6.77,0.063,66.21,0.699,113,1.201,1,6.55,0.01343
Brass,10,38.37,507.1,6.93,5.71,0.114,56.99,1.255,139,0.396,0,5.9,0.01649
ZnCoatedSteel,5,55.92,312.2,11.57,2.28,0.144,44.83,0.419,147,1.782,1,7.01,0.00748
Copper,15,69.69,549.9,0.89,6.68,0.159,50.64,0.959,105,1.916,1,6.56,0.00737
SS304,0,34.8,0,9.33,4.23,0.133,27.85,0.159,71,1.425,1,6.86,0.00249
Al6061,0,28.25,116.7,3.91,2.48,0.094,23.7,0.68,233,0.055,0,7.02,0.01823
Brass,10,24.86,92.9,10.48,4.17,0.088,74.34,0.509,240,1.316,0,6.47,0.02452
LowCarbonSteel,0,57.18,344.2,14.3,1.21,0.162,22.57,0.186,110,1.663,1,6.6,0.0234
Al6061,10,49.78,361.6,10.3,4.42,0.117,48.25,0.123,274,1.28,0,6.6,0.00747
Brass,10,44.02,337.5,14.55,2.5,0.063,55.84,0.342,186,1.494,1,6.98,0.01157
ZnCoatedSteel,15,47.41,414.7,6.66,5.16,0.152,79.79,0.95,142,0.82,1,6.3,0.0075
Copper,15,45.73,317.1,2.09,6.94,0.138,64.69,0.646,110,1.702,0,6.65,0.02258
SS304,15,62.85,319.2,4.47,5.58,0.144,45.82,0.352,268,1.727,1,7.08,0.00088
ZnCoatedSteel,0,57.26,223.4,2,3.63,0.1,0.5,0.335,195,1.293,0,7.07,0.01211
